Transaction Id, Transaction Date and Timestamp, Transaction, Asset, Market Id, Volume, Price (AUD), Fee (AUD), Nett Value (AUD), Reference Id
8587610947,2021-07-01T00:48:29Z,Reward,ALGO,,0.00049745,1.1699,0,0.00058197,6501185828
8716492233,2021-07-20T11:08:18Z,Deposit,AUD,,422.65,1,0,422.65,6501219580
8716498109,2021-07-20T11:09:41Z,Buy Order,ALGO,ALGO-AUD,347.57059539,0.945,2.79185752,331.24607016,7173868232
8716520474,2021-07-20T11:14:37Z,Buy Order,POWR,POWR-AUD,441.48636717,0.2053,0.77041487,91.40756605,7173880706
8723633852,2021-07-21T15:13:18Z,Sell Order,ALGO,ALGO-AUD,-347.57109284,1.0491,3.09940943,361.53742406,7177411455
8728729470,2021-07-22T08:28:25Z,Sell Order,XLM,XLM-AUD,-1082.10771942,0.338,3.03574133,362.71666783,7179944982
8757269604,2021-07-26T06:11:35Z,Sell Order,POWR,POWR-AUD,-441.48636717,0.2545,0.89886624,111.4594142,7194138407
8801371733,2021-08-01T00:49:52Z,Reward,ALGO,,0.0635229,1.1659,0,0.07406135,6501241747
8910338133,2021-08-18T10:25:50Z,Buy Order,POWR,POWR-AUD,2060.34010742,0.402,6.62605378,834.88277696,7269998290
8918851226,2021-08-20T06:43:27Z,Sell Order,POWR,POWR-AUD,-2060.34010742,0.4253,7.01010118,869.2525465,7274192894
8988046172,2021-09-05T16:52:00Z,Deposit,ALGO,,701.01,1.7332,0,1214.990532,6501320902
8988050017,2021-09-05T16:53:14Z,Sell Order,ALGO,ALGO-AUD,-701,1.7391,9.7528728,1209.3562272,7308238841
8997273235,2021-09-07T18:14:55Z,Buy Order,XLM,XLM-AUD,500,0.4495,1.798,226.548,7312718722
8997329458,2021-09-07T18:26:49Z,Buy Order,ALGO,ALGO-AUD,443.65303218,1.6275,5.77636247,727.82167234,7312746050
8997329950,2021-09-07T18:26:55Z,Buy Order,ALGO,ALGO-AUD,379.34696782,1.6275,4.93909752,622.32628764,7312746050
8999168529,2021-09-08T02:11:29Z,Sell Order,ALGO,ALGO-AUD,-796,1.8876,11.26895697,1491.26064303,7313631448
8999168552,2021-09-08T02:11:30Z,Sell Order,ALGO,ALGO-AUD,-27.0735229,1.8778,0.38128945,50.45737185,7313631448
8999817063,2021-09-08T04:58:00Z,Deposit,ALGO,,922.135146,2.1658,0,1997.16029921,6501329015
8999844809,2021-09-08T05:04:18Z,Sell Order,ALGO,ALGO-AUD,-922.135146,2.1566,14.91505503,1973.76160083,7313955313
9010103997,2021-09-10T01:34:10Z,Sell Order,XLM,XLM-AUD,-90.13799409,0.4899,0.33118908,43.82741422,7314522434
9021137576,2021-09-12T09:49:34Z,Sell Order,XLM,XLM-AUD,-409.86200591,0.48,1.47550125,195.25826158,7319585393
9027126069,2021-09-13T16:03:18Z,Buy Order,XRP,XRP-AUD,1000,1.4253,10.68973574,1435.98973574,7327365042
9031035293,2021-09-14T15:58:17Z,Sell Order,XRP,XRP-AUD,-341.99999405,1.4792,3.54120473,502.34518646,7329295906
9031035659,2021-09-14T15:58:22Z,Sell Order,XRP,XRP-AUD,-658,1.4792,6.8131952,966.5004048,7329295906
9031036165,2021-09-14T15:58:32Z,Sell Order,XRP,XRP-AUD,-0.00000595,1.4789916,0.00000006,0.00000874,7329295906
9061965328,2021-09-20T12:41:48Z,Buy Order,POWR,POWR-AUD,2571,0.4274,7.6919178,1106.5373178,7344573994
9062012931,2021-09-20T12:51:18Z,Buy Order,ALGO,ALGO-AUD,1000,2.3,16.1,2316.1,7344596735
9074040240,2021-09-22T03:52:39Z,Buy Order,POWR,POWR-AUD,6.37185692,0.406,0.01810881,2.60508271,7350522727
9074045613,2021-09-22T03:53:28Z,Buy Order,POWR,POWR-AUD,2094.90226492,0.41,6.0123695,864.92229811,7350524662
9084474596,2021-09-23T14:11:28Z,Sell Order,ALGO,ALGO-AUD,-1000,2.6969,18.8783,2678.0217,7344600577
9090505346,2021-09-24T10:09:33Z,Buy Order,ALGO,ALGO-AUD,841,2.4399,14.3636913,2066.3195913,7358683945
9090505413,2021-09-24T10:09:34Z,Buy Order,ALGO,ALGO-AUD,100.8427,2.4399,1.72232272,247.76842645,7358683945
9090531269,2021-09-24T10:13:17Z,Buy Order,XRP,XRP-AUD,282.47917404,1.2794,2.52982698,363.93368224,7358696657
9118052406,2021-09-28T01:17:23Z,Deposit,AUD,,726.9,1,0,726.9,6501369535
9118060934,2021-09-28T01:19:32Z,Buy Order,POWR,POWR-AUD,1847.07332579,0.391,4.69432963,726.90000001,7372370618
9128155239,2021-09-29T13:05:40Z,Sell Order,XRP,XRP-AUD,-23,1.36,0.21896,31.06104,7358705115
9128155898,2021-09-29T13:05:47Z,Sell Order,XRP,XRP-AUD,-259.47917404,1.36,2.47024173,350.42143496,7358705115
9138086180,2021-10-01T00:59:53Z,Reward,ALGO,,1.3288869,2.2565,0,2.99863329,6501377919
9139286471,2021-10-01T05:29:27Z,Sell Order,POWR,POWR-AUD,-6519.347,0.4632,19.62841974,3000.13311066,7381289037
9139287229,2021-10-01T05:29:35Z,Sell Order,POWR,POWR-AUD,-0.00044763,0.46319505,0.00000134,0.000206,7381289037
9156276256,2021-10-03T18:51:18Z,Sell Order,ALGO,ALGO-AUD,-943.17157881,2.69,16.49132968,2520.64021731,7383193024
9156276580,2021-10-03T18:51:22Z,Sell Order,ALGO,ALGO-AUD,-0.00000809,2.68974042,0.00000014,0.00002162,7383193024
9174136130,2021-10-06T10:42:58Z,Buy Order,ALGO,ALGO-AUD,1000,2.551,16.58147449,2567.58147449,7400172404
9174136138,2021-10-06T10:42:58Z,Buy Order,ALGO,ALGO-AUD,300,2.5511,4.97463734,770.30463734,7400172404
9174152439,2021-10-06T10:46:22Z,Withdraw,ALGO,,-1300,2.5493,0.025493,-3314.115493,6501391202
9212296826,2021-10-12T09:11:27Z,Buy Order,ALGO,ALGO-AUD,1000,2.2692,14.7497773,2283.9497773,7419070747
9212296984,2021-10-12T09:11:28Z,Buy Order,ALGO,ALGO-AUD,122.77859356,2.2692,1.81095691,280.42014141,7419070978
9243465382,2021-10-17T09:28:41Z,Sell Order,ALGO,ALGO-AUD,-1122.77859356,2.51,18.31810457,2799.85616526,7434494875
9305466548,2021-10-27T08:43:41Z,Buy Order,ALGO,ALGO-AUD,1124.84562318,2.4718,19.46275387,2799.85616524,7465171608
9336643079,2021-11-01T01:39:57Z,Reward,ALGO,,1.78214772,2.4717,0,4.40493452,6501514452
9385005201,2021-11-08T17:43:27Z,Sell Order,ALGO,ALGO-AUD,-1126.6277709,2.6969,21.26881704,3017.1336183,7485772563
9433632480,2021-11-16T15:10:02Z,Buy Order,ALGO,ALGO-AUD,1242.96417893,2.399,22.36400317,3004.23506842,7528380406
9443926989,2021-11-18T04:25:49Z,Sell Order,ALGO,ALGO-AUD,-484.92370337,2.99,10.87439954,1439.04747353,7531922230
9443927201,2021-11-18T04:25:51Z,Sell Order,ALGO,ALGO-AUD,-758.04047556,2.99,16.99903499,2249.54198693,7531922230
9447052320,2021-11-18T14:46:25Z,Buy Order,OMG,OMG-AUD,196,13.0963,17.9681236,2584.8429236,7535005304
9447052342,2021-11-18T14:46:26Z,Buy Order,OMG,OMG-AUD,84.67146,13.0963,7.76217989,1116.64502148,7535005304
9494043317,2021-11-25T19:10:11Z,Sell Order,OMG,OMG-AUD,-132,12.4491,11.5029684,1631.7782316,7558227446
9494045219,2021-11-25T19:10:41Z,Sell Order,OMG,OMG-AUD,-132,12.4479,11.5018596,1631.6209404,7558228388
9494047895,2021-11-25T19:11:23Z,Sell Order,OMG,OMG-AUD,-16.67146,12.4491,1.4528127,206.09185998,7558229717
9500851878,2021-11-26T19:20:58Z,Buy Order,ALGO,ALGO-AUD,1511.12872,2.28,24.11761437,3469.49109597,7561568583
9524551341,2021-12-01T00:54:37Z,Reward,ALGO,,2.22049868,2.5875,0,5.74554033,6501591409
9527393282,2021-12-01T13:13:58Z,Sell Order,ALGO,ALGO-AUD,-1015,2.7341,18.03819699,2757.07330301,7574676735
9528349012,2021-12-01T17:25:27Z,Sell Order,ALGO,ALGO-AUD,-390.21370075,2.799,7.09934204,1085.10880635,7575145111
9528349091,2021-12-01T17:25:27Z,Sell Order,ALGO,ALGO-AUD,-108.1354179,2.799,1.96735869,300.70367601,7575145111
9528349938,2021-12-01T17:25:39Z,Sell Order,ALGO,ALGO-AUD,-0.00010003,2.79896031,0.00000181,0.00027817,7575145111
9542901272,2021-12-04T05:04:25Z,Buy Order,ALGO,ALGO-AUD,1829.39166794,2.25,26.75481198,4142.88606484,7582321137
9599396789,2021-12-14T00:35:31Z,Deposit,AUD,,1000,1,0,1000,6501622712
9599416741,2021-12-14T00:39:59Z,Buy Order,ALGO,ALGO-AUD,522.42190925,1.9006,6.45393809,999.36901881,7610242547
9599418203,2021-12-14T00:40:18Z,Buy Order,ALGO,ALGO-AUD,0.32984653,1.89819999,0.00406973,0.63018441,7610243259
9688577048,2021-12-30T20:22:36Z,Sell Order,ALGO,ALGO-AUD,-445,2.36,7.3514,1042.8486,7654391700
9688582814,2021-12-30T20:24:03Z,Sell Order,ALGO,ALGO-AUD,-1000,2.3589,16.5123,2342.3877,7654394577
9695076138,2022-01-01T01:06:38Z,Reward,ALGO,,5.29205726,2.3389,0,12.37759273,6501653619
9711555920,2022-01-04T05:07:15Z,Withdraw,ALGO,,-912.43548,2.4179,0.024179,-2206.20192609,6501661813
9722921440,2022-01-06T03:47:04Z,Buy Order,ALGO,ALGO-AUD,1014,2.1296,16.1955864,2175.6099864,7671402668
9722924437,2022-01-06T03:47:47Z,Buy Order,ALGO,ALGO-AUD,564.83931783,2.1256,9.00465639,1209.62711036,7671404120
9722942913,2022-01-06T03:51:16Z,Withdraw,ALGO,,-1578.83931,2.12,0.0212,-3347.1605372,6501665614
9812887208,2022-01-19T10:08:18Z,Deposit,AUD,,1000,1,0,1000,6501687669
9812890068,2022-01-19T10:08:49Z,Buy Order,ALGO,ALGO-AUD,569.97579025,1.7414,7.44415888,1000.00000002,7716097248
9828992280,2022-01-21T08:14:35Z,Deposit,AUD,,700,1,0,700,6501691161
9828997006,2022-01-21T08:15:24Z,Buy Order,ALGO,ALGO-AUD,436.97426,1.59,5.2109111,699.9999845,7724102232
9829010991,2022-01-21T08:17:45Z,Buy Order,ALGO,ALGO-AUD,0.00000968,1.58987603,0.00000011,0.0000155,7724102232
9923185962,2022-02-01T00:58:31Z,Reward,ALGO,,0.6171081,1.3529,0,0.83488555,6501712965
10165083818,2022-03-01T01:15:39Z,Reward,ALGO,,0.48806261,1.21716667,0,0.59405354,6501758447
10174907984,2022-03-02T00:18:17Z,Withdraw,ALGO,,-1008.055239,1.1796,0.011796,-1189.11375592,6501763190
10460190350,2022-04-01T01:14:03Z,Reward,ALGO,,0.00179392,1.2687,0,0.00227595,6501802964
10853746556,2022-05-12T03:55:20Z,Deposit,AUD,,1000,1,0,1000,6501865497
10853757723,2022-05-12T03:56:40Z,Buy Order,ALGO,ALGO-AUD,1680.62991,0.59,8.42834908,999.99999598,8234331836
10853796235,2022-05-12T04:01:36Z,Withdraw,ALGO,,-1680.631704,0.5866,0.005866,-985.86442357,6501865502
